Primary Operator,Extraction_ID,Batch_number,batch_order,RNAID,Fish,Population,Treatment,SL,Input Sample weight  (mg),transfer vol,elution volume (ul),qubit predilution 1:#,RNA Qubit ng/ul,[RNA],Yield (ug),260/280,260/230,RIN,Notes
MIOK,E01,1,01,BWR24_006,BW24_006,NS,Control,31,4.8,250,80,2,59.0,118.0,9.4,1.9,2.3,,
MIOK,E02,1,02,BWR24_008,BW24_008,S,Hypoxic,26,6.75,260,80,2,71.0,142.0,11.4,2.0,2.2,,
MIOK,E03,1,03,BWR24_029,BW24_029,NS,Control,32,14,330,80,4,75.0,300.0,24.0,2.0,2.4,,
MIOK,E04,1,04,BWR24_036,BW24_036,NS,Hypoxic,36,11,250,80,4,45.8,183.2,14.7,2.0,2.4,,
MIOK,E05,1,05,BWR24_034,BW24_034,NS,Hypoxic,19,3,250,80,1,67.00,67.0,5.4,1.9,2.3,,
MIOK,E06,1,06,BWR24_026,BW24_026,S,Control,25,5.8,250,80,2,68.0,136.0,10.9,2.0,2.3,,
MIOK,E07,1,07,BWR24_025,BW24_025,S,Control,24,5.3,250,80,2,63.0,126.0,10.1,1.9,2.4,,
MIOK,E08,1,08,BWR24_010,BW24_010,NS,Hypoxic,25,3.3,250,80,1,62.00,62.0,5.0,1.9,2.2,,
MIOK,E09,1,09,BWR24_002,BW24_002,S,Control,34,10,250,80,3,57.0,171.0,13.7,2.0,2.3,,
MIOK,E10,1,10,BWR24_001,BW24_001,S,Control,18,3.3,250,80,2,51.0,102.0,8.2,1.9,2.4,,
MIOK,E11,1,11,BWR24_027,BW24_027,S,Control,24,5.1,250,80,2,59.0,118.0,9.4,2.0,2.3,,
MIOK,E12,1,12,BWR24_035,BW24_035,NS,Hypoxic,22,4.3,250,80,2,52.0,104.0,8.3,1.9,2.3,,
MIOK,E13,2,13,BWR24_031,BW24_031,S,Hypoxic,16,1.2,250,80,1,30.3,30.3,2.4,1.9,1.9,,
MIOK,E14,2,14,BWR24_009,BW24_009,S,Hypoxic,21,5.25,250,80,2,67.00,134.0,10.7,1.9,2.1,,
MIOK,E15,2,15,BWR24_028,BW24_028,NS,Control,36,9.8,250,80,3,76.0,228.0,18.2,2.0,2.0,,
MIOK,E16,2,16,BWR24_003,BW24_003,S,Control,18,3.2,250,80,1,74.00,74.0,5.9,1.9,2.3,,
MIOK,E17,2,17,BWR24_011,BW24_011,NS,Hypoxic,19,2.3,250,80,1,85.00,85.0,6.8,1.9,2.3,,
MIOK,E18,2,18,BWR24_004,BW24_004,NS,Control,22,3.75,250,80,1,78.00,78.0,6.2,1.9,2.1,,
MIOK,E19,2,19,BWR24_033,BW24_033,S,Hypoxic,34,2.35,250,80,1,45.1,45.1,3.6,1.9,2.2,,
MIOK,E20,2,20,BWR24_007,BW24_007,S,Hypoxic,29,7.13,250,80,3,61.00,183.0,14.6,1.9,2.3,,
MIOK,E21,2,21,BWR24_005,BW24_005,NS,Control,20,3.57,250,80,1,58.00,58.0,4.6,1.9,2.3,,
MIOK,E22,2,22,BWR24_030,BW24_030,NS,Control,25,4.09,250,80,2,65.0,130.0,10.4,1.9,2.2,,
MIOK,E23,2,23,BWR24_012,BW24_012,NS,Hypoxic,26,7.8,250,80,3,62.00,186.0,14.9,1.9,2.4,,
MIOK,E24,2,24,BWR24_032,BW24_032,S,Hypoxic,18,2.88,250,80,1,41.9,41.9,3.4,1.9,2.2,,